ticket_id,text,text_clean,category,language,channel,annotator_confidence
LBL-01502,Abeg my account has been locked for 11 days. I can't login at all. o,Abeg my account has been locked for 11 days. I can't login at all. o,billing,mixed,email,0.98
LBL-02587,The app is extremely slow — every action takes 18 seconds.,The app is extremely slow — every action takes 18 seconds.,technical,en,email,0.93
LBL-02654,The website does not load on Safari. I have cleared my cache. 😤😤,The website does not load on Safari. I have cleared my cache. 😤😤,technical,en,chat,0.8
LBL-01056,MY ACCOUNT HAS BEEN LOCKED FOR 6 DAYS AND I CANNOT LOG IN.,MY ACCOUNT HAS BEEN LOCKED FOR 6 DAYS AND I CANNOT LOG IN.,account,en,email,0.93
LBL-00706,My account keeps logging me out every 32 hours.,My account keeps logging me out every 32 hours.,account,en,chat,0.74
LBL-00107,Una system block my account. I never do anything wrong.,Una system block my account. I never do anything wrong.,account,pcm,chat,0.85
LBL-00590,I cannot reset my password. The link expires immediately!!! 🤬,I cannot reset my password. The link expires immediately!!! 🤬,account,en,social,0.96
LBL-02469,The app crashes every time I open it on iPhone 14.,The app crashes every time I open it on iPhone 14.,technical,en,social,0.93
LBL-02414,I keep getting an error code ERR-839 when I try to submit the form.,I keep getting an error code ERR-839 when I try to submit the form.,technical,en,email,0.92
LBL-01601,Abeg my account has been locked for 3 days. I can't login at all.,Abeg my account has been locked for 3 days. I can't login at all.,billing,mixed,chat,0.8
LBL-02465,Dark mode setting no dey save. E reset every time I open app.,Dark mode setting no dey save. E reset every time I open app.,technical,pcm,chat,0.92
LBL-00229,My account shows 'suspended' but I have done nothing wrong.,My account shows 'suspended' but I have done nothing wrong.,account,en,chat,0.94
LBL-00916,My account shows 'suspended' but I have done nothing wrong!!!,My account shows 'suspended' but I have done nothing wrong!!!,account,en,social,0.93
LBL-00795,My account suspend without reason. Abeg e don do.,My account suspend without reason. Abeg e don do.,account,pcm,social,0.73
LBL-03022,The website does not load on Safari. I have cleared my cache.,The website does not load on Safari. I have cleared my cache.,technical,en,email,0.84
LBL-03544,My express delivery took 8 days instead of next-day.,My express delivery took 8 days instead of next-day.,delivery,en,email,0.92
LBL-01074,Two-factor authentication is not working on my account. ❌❌,Two-factor authentication is not working on my account. ❌❌,account,en,chat,0.83
LBL-03352,Abeg my account has been locked for 10 days. I can't login at all.,Abeg my account has been locked for 10 days. I can't login at all.,delivery,mixed,email,0.73
LBL-01745,My subscription don cancel since 6 days but una still dey collect money.,My subscription don cancel since 6 days but una still dey collect money.,billing,pcm,chat,0.85
LBL-01085,I NO FIT CHANGE MY EMAIL FOR ACCOUNT SETTINGS. SYSTEM DEY GIVE ERROR.,I NO FIT CHANGE MY EMAIL FOR ACCOUNT SETTINGS. SYSTEM DEY GIVE ERROR.,account,pcm,email,0.96
LBL-00927,I no fit change my email for account settings. System dey give error.,I no fit change my email for account settings. System dey give error.,account,pcm,email,0.96
LBL-03050,Error ERR-990 dey show every time. I no sabi wetin am mean.,Error ERR-990 dey show every time. I no sabi wetin am mean.,technical,pcm,social,1.0
LBL-01118,I cannot reset my password. The link expires immediately.,I cannot reset my password. The link expires immediately.,account,en,chat,0.82
LBL-00643,Two-factor authentication is not working on my account.,Two-factor authentication is not working on my account.,account,en,chat,0.75
LBL-04768,FIX THIS NOW OR I WILL GO TO EVERY REVIEW SITE AND RATE YOU ZERO.,FIX THIS NOW OR I WILL GO TO EVERY REVIEW SITE AND RATE YOU ZERO.,abuse,en,chat,0.73
LBL-00502,I no fit enter my account at all at all. Password reset no dey work.,I no fit enter my account at all at all. Password reset no dey work.,account,pcm,email,0.9
LBL-04067,The onboarding process was smooth and the product works well. 😤😤,The onboarding process was smooth and the product works well. 😤😤,feedback,en,email,0.8
LBL-00334,My profile don disappear. All my settings don go. 😡😡,My profile don disappear. All my settings don go. 😡😡,account,pcm,email,0.75
LBL-04685,The app dey crash every time on my Tecno Camon 20. Very frustrating.,The app dey crash every time on my Tecno Camon 20. Very frustrating.,abuse,mixed,email,0.72
LBL-00487,My profile picture and settings were deleted without warning. 💔💔,My profile picture and settings were deleted without warning. 💔💔,account,en,chat,0.77
LBL-01963,The refund wey I request since 2 days never reach me.,The refund wey I request since 2 days never reach me.,billing,pcm,email,0.99
LBL-00394,Two-factor authentication is not working on my account.,Two-factor authentication is not working on my account.,account,en,email,0.89
LBL-04843,ABEG REFUND MY ₦500 — THE SERVICE I PAID FOR WAS NOT DELIVERED!!!,ABEG REFUND MY ₦500 — THE SERVICE I PAID FOR WAS NOT DELIVERED!!!,abuse,mixed,email,0.9
LBL-04867,This is fraud. I am contacting my bank and a lawyer.,This is fraud. I am contacting my bank and a lawyer.,abuse,en,email,0.85
LBL-01756,I cancelled my subscription 14 days ago but was still charged.,I cancelled my subscription 14 days ago but was still charged.,billing,en,email,0.96
LBL-02516,Account na ya kulle. Don Allah a taimake ni!!!,Account na ya kulle. Don Allah a taimake ni!!!,technical,ha,email,0.89
LBL-03586,The app dey crash every time on my Android 13. Very frustrating.,The app dey crash every time on my Android 13. Very frustrating.,delivery,mixed,email,0.89
LBL-04316,The pricing is too high compared to your competitors.,The pricing is too high compared to your competitors.,feedback,en,email,0.97
LBL-04967,This is fraud. I am contacting my bank and a lawyer.,This is fraud. I am contacting my bank and a lawyer.,abuse,en,email,0.79
LBL-02100,My discount code was not applied at checkout. I paid full price. 👎👎,My discount code was not applied at checkout. I paid full price. 👎👎,billing,en,social,0.78
LBL-03600,My order is showing as stuck in transit for 11 days.,My order is showing as stuck in transit for 11 days.,delivery,en,email,0.76
LBL-04122,Please add dark mode — many users have been asking for this.,Please add dark mode — many users have been asking for this.,feedback,en,email,1.0
