post_id,text,language,sentiment,city,platform,date
SNT-00001,Terrible experience from start to finish. Will not return.,mixed,negative,Ibadan,facebook,2025-06-30
SNT-00002,Still waiting. No response. Very frustrated.,mixed,negative,Abuja,twitter,2025-06-04
SNT-00003,The issue was resolved very quickly. Excellent service.,en,positive,Lagos,twitter,2025-06-29
SNT-00004,This service has gone downhill. 2 years customer and this?,en,negative,Lagos,facebook,2025-06-30
SNT-00005,My refund arrived. Thank you for the quick turnaround.,en,positive,Lagos,facebook,2025-06-25
SNT-00006,I was told to wait 12 days. It has now been 12 days.,en,neutral,Lagos,twitter,2025-06-11
SNT-00007,I have submitted the required documents as requested.,en,neutral,Lagos,facebook,2025-06-13
SNT-00008,Ìṣòro mi ò tíì yanjú. Àṣìṣe nlá ni.,mixed,negative,Lagos,twitter,2025-06-15
SNT-00009,Please let me know the status of my request.,en,neutral,Lagos,facebook,2025-06-01
SNT-00010,Requesting update on the refund process for order ORD-180279.,en,neutral,Ibadan,instagram,2025-06-04
SNT-00011,Terrible experience from start to finish. Will not return.,en,negative,Abuja,twitter,2025-06-08
SNT-00012,The issue was resolved very quickly. Excellent service.,en,positive,Lagos,facebook,2025-06-28
SNT-00013,Outstanding customer support. Will definitely recommend.,en,positive,Ibadan,twitter,2025-06-06
SNT-00014,Terrible experience from start to finish. Will not return.,yo,negative,Lagos,twitter,2025-06-08
SNT-00015,Abeg I don tire. 7 days of nothing.,pcm,negative,Lagos,instagram,2025-06-24
SNT-00016,E no fix at all. Una be waste of time. Very bad experience.,en,negative,Lagos,facebook,2025-06-26
SNT-00017,Abeg I don tire. 13 days of nothing.,pcm,negative,Lagos,instagram,2025-06-24
SNT-00018,Abeg I don tire. 8 days of nothing.,en,negative,Abuja,twitter,2025-06-15
SNT-00019,Still not resolved after 3 days. This is unacceptable.,en,negative,Lagos,facebook,2025-06-12
SNT-00020,Ìṣòro mi ti yanjú. Mo dúpẹ́ lọ́wọ́ yín.,en,positive,Kano,instagram,2025-06-09
